#  ID                log(P)        A0(V)       R21(V)     R31(V)    A0(I)      R21(I)     R31(I)     PC1(V)     PC2(V)     PC1(I)     PC2(I)
OGLE-LMC-CEP-0385    0.6307987     15.056      0.437      0.176     15.031      0.341      0.120      0.123      0.150     -0.044     -0.057
OGLE-LMC-CEP-0387    0.4424079     16.431      0.282      0.095     15.664      0.294      0.092     -0.155      0.019      0.179     -0.036
OGLE-LMC-CEP-0390    0.5360589     15.858      0.528      0.313     15.183      0.475      0.293      0.043     -0.063      0.024      0.143
OGLE-LMC-CEP-0392    0.7643952     15.716      0.336      0.069     14.805      0.329      0.058      0.093      0.198     -0.085     -0.204
OGLE-LMC-CEP-0394    0.8595459     15.186      0.311      0.077     14.364      0.312      0.071      0.191      0.194     -0.187     -0.184
OGLE-LMC-CEP-0396    0.6333625     15.804      0.444      0.231     15.018      0.450      0.229      0.129      0.019     -0.118      0.024
OGLE-LMC-CEP-0398    0.6164333     15.839      0.473      0.240     15.083      0.471      0.246      0.128      0.012     -0.127      0.021
OGLE-LMC-CEP-0400    0.4032862     16.384      0.488      0.277     15.664      0.500      0.279     -0.052     -0.144      0.065      0.165
OGLE-LMC-CEP-0401    0.7259713     15.713      0.383      0.107     14.872      0.379      0.108      0.156      0.122     -0.158     -0.101
OGLE-LMC-CEP-0404    0.5779434     15.841      0.480      0.234     15.112      0.482      0.278      0.109     -0.064     -0.055      0.097
OGLE-LMC-CEP-0406    0.5451070     16.024      0.329      0.114     15.276      0.318      0.118     -0.076      0.023      0.032     -0.077
OGLE-LMC-CEP-0407    0.4808251     16.423      0.445      0.193     15.604      0.417      0.198     -0.054     -0.056      0.022      0.040
OGLE-LMC-CEP-0408    0.4198707     16.150      0.466      0.246     15.492      0.478      0.267     -0.035     -0.126      0.130      0.169
OGLE-LMC-CEP-0411    0.4200847     16.634      0.459      0.263     15.821      0.478      0.269     -0.035     -0.125      0.050      0.139
OGLE-LMC-CEP-0414    0.2497583     16.695      0.378      0.153     16.008      0.391      0.175     -0.173     -0.101      0.128      0.010
OGLE-LMC-CEP-0422    0.6074866     16.013      0.373      0.142     15.215      0.370      0.145      0.081      0.062     -0.073     -0.055
OGLE-LMC-CEP-0423    0.5569759     15.887      0.481      0.261     15.115      0.467      0.253      0.012     -0.072     -0.037      0.075
OGLE-LMC-CEP-0425    0.5147750     16.373      0.461      0.237     15.534      0.460      0.265      0.059     -0.055     -0.029      0.102
OGLE-LMC-CEP-0428    0.2928830     16.683      0.475      0.342     16.006      0.483      0.291     -0.101     -0.153      0.144      0.172
OGLE-LMC-CEP-0429    0.4573425     16.159      0.441      0.246     15.452      0.466      0.257     -0.026     -0.122      0.089      0.147
OGLE-LMC-CEP-0430    0.4605781     16.489      0.438      0.224     15.644      0.443      0.222     -0.019     -0.035      0.023      0.064
OGLE-LMC-CEP-0433    0.3882091     16.512      0.461      0.283     15.712      0.473      0.259     -0.141     -0.140      0.078      0.104
OGLE-LMC-CEP-0436    0.4234057     16.532      0.469      0.261     15.736      0.475      0.248     -0.026     -0.089      0.044      0.118
OGLE-LMC-CEP-0437    0.6547566     15.695      0.460      0.190     14.933      0.440      0.201      0.108      0.030     -0.157     -0.044
OGLE-LMC-CEP-0438    0.4694769     16.182      0.439      0.246     15.440      0.463      0.259     -0.023     -0.119     -0.030      0.077
OGLE-LMC-CEP-0439    0.5069694     16.159      0.482      0.287     15.412      0.477      0.274     -0.045     -0.133     -0.001      0.120
OGLE-LMC-CEP-0440    0.5524610     16.029      0.454      0.234     15.263      0.443      0.235      0.028     -0.057     -0.073      0.042
OGLE-LMC-CEP-0441    0.3545593     16.724      0.405      0.201     15.963      0.394      0.186     -0.079     -0.070      0.058      0.033
OGLE-LMC-CEP-0442    0.6362196     15.701      0.450      0.222     14.923      0.448      0.230      0.161      0.016     -0.058      0.062
OGLE-LMC-CEP-0443    0.4362994     16.104      0.470      0.282     15.451      0.484      0.270     -0.007     -0.105      0.086      0.154
OGLE-LMC-CEP-0445    0.5292922     16.256      0.405      0.163     15.444      0.397      0.185      0.005     -0.009     -0.055     -0.029
OGLE-LMC-CEP-0447    0.4089485     16.497      0.438      0.248     15.744      0.467      0.243     -0.091     -0.148      0.047      0.117
OGLE-LMC-CEP-0450    0.7328751     15.582      0.290      0.066     14.759      0.311      0.051      0.040      0.158     -0.045     -0.155
OGLE-LMC-CEP-0451    0.3737364     16.216      0.463      0.287     15.614      0.484      0.280     -0.080     -0.168      0.113      0.162
OGLE-LMC-CEP-0457    0.4856922     16.174      0.415      0.207     15.419      0.411      0.208     -0.010     -0.063      0.028      0.052
OGLE-LMC-CEP-0458    0.5847812     16.462      0.425      0.231     15.516      0.439      0.235      0.047     -0.017     -0.087      0.022
OGLE-LMC-CEP-0459    0.5742905     15.990      0.414      0.200     15.158      0.431      0.216      0.087     -0.032      0.024      0.074
OGLE-LMC-CEP-0460    0.4987839     16.160      0.449      0.223     15.395      0.454      0.226     -0.022     -0.080      0.026      0.086
OGLE-LMC-CEP-0462    0.8487353     15.253      0.212      0.044     14.337      0.185      0.033     -0.164      0.131      0.157     -0.235
OGLE-LMC-CEP-0463    0.5238236     16.081      0.245      0.051     15.338      0.240      0.064     -0.173      0.062      0.150     -0.150
OGLE-LMC-CEP-0465    0.5712744     16.045      0.423      0.211     15.233      0.416      0.203      0.048     -0.024     -0.065      0.023
OGLE-LMC-CEP-0466    0.4771175     16.625      0.336      0.162     15.781      0.776      0.538      0.114     -0.192      0.004      0.024
OGLE-LMC-CEP-0467    1.3563626     13.731      0.361      0.218     12.750      0.338      0.221      0.238     -0.060     -0.393     -0.030
OGLE-LMC-CEP-0473    0.4205359     16.355      0.427      0.219     15.597      0.420      0.217     -0.021     -0.081      0.033      0.079
OGLE-LMC-CEP-0475    0.4698768     16.192      0.394      0.199     15.472      0.451      0.242     -0.007     -0.082      0.015      0.091
OGLE-LMC-CEP-0478    0.4415634     16.204      0.462      0.240     15.480      0.480      0.268     -0.048     -0.130      0.107      0.155
OGLE-LMC-CEP-0479    0.5926796     15.666      0.482      0.137     14.962      0.418      0.217      0.072      0.002     -0.076      0.024
OGLE-LMC-CEP-0480    0.6058436     16.889      0.403      0.188     15.763      0.408      0.183      0.009     -0.015     -0.112     -0.050
OGLE-LMC-CEP-0481    0.1961234     16.942      0.407      0.182     16.235      0.416      0.215     -0.125     -0.134      0.163      0.113
OGLE-LMC-CEP-0482    0.8730834     15.697      0.367      0.125     14.650      0.370      0.134      0.237      0.147     -0.205     -0.094
OGLE-LMC-CEP-0484    0.6450464     15.708      0.465      0.227     14.912      0.459      0.230      0.100     -0.015     -0.083      0.054
OGLE-LMC-CEP-0486    0.4870474     16.183      0.375      0.135     15.429      0.374      0.172      0.034     -0.078     -0.009     -0.024
OGLE-LMC-CEP-0487    0.4926685     16.233      0.439      0.241     15.488      0.444      0.241      0.013     -0.068     -0.025      0.049
OGLE-LMC-CEP-0488    0.5619366     16.585      0.451      0.241     15.583      0.455      0.229      0.031     -0.031     -0.087      0.017
OGLE-LMC-CEP-0490    0.2506427     16.877      0.397      0.170     16.192      0.398      0.196     -0.203     -0.134      0.119      0.036
OGLE-LMC-CEP-0491    0.5998204     15.354      0.388      0.208     14.470      0.413      0.203     -0.005     -0.082      0.006      0.048
OGLE-LMC-CEP-0492    0.7192783     15.336      0.426      0.195     14.632      0.442      0.198      0.120      0.041     -0.111      0.018
OGLE-LMC-CEP-0494    0.4356805     16.996      0.467      0.241     16.034      0.487      0.281     -0.055     -0.083      0.051      0.163
OGLE-LMC-CEP-0496    0.5007418     16.210      0.433      0.239     15.436      0.423      0.230      0.007     -0.082      0.032      0.096
OGLE-LMC-CEP-0498    0.5599010     15.985      0.217      0.046     15.187      0.225      0.050     -0.095      0.127      0.190     -0.143
OGLE-LMC-CEP-0499    0.9460083     14.923      0.209      0.202     14.106      0.217      0.201     -0.769      0.137      0.652     -0.207
OGLE-LMC-CEP-0500    1.1454486     14.291      0.198      0.162     13.510      0.179      0.128     -0.030     -0.056     -0.010      0.047
OGLE-LMC-CEP-0501    1.3674883     13.601      0.396      0.282     12.950      0.399      0.239      0.230     -0.032     -0.357     -0.023
OGLE-LMC-CEP-0502    0.7218664     15.796      0.339      0.098     14.911      0.343      0.095      0.070      0.081     -0.106     -0.112
OGLE-LMC-CEP-0504    1.1581177     14.883      0.128      0.165     13.822      0.145      0.126      0.182      0.078     -0.194     -0.151
OGLE-LMC-CEP-0505    0.6201766     15.798      0.454      0.238     15.032      0.448      0.232      0.062     -0.039     -0.092      0.021
OGLE-LMC-CEP-0508    0.4806782     16.339      0.349      0.146     15.534      0.357      0.138     -0.107     -0.038      0.071     -0.004
OGLE-LMC-CEP-0513    0.4437276     16.147      0.425      0.200     15.472      0.461      0.235      0.018     -0.200      0.044      0.113
OGLE-LMC-CEP-0514    0.5445212     16.284      0.372      0.166     15.480      0.387      0.169      0.025      0.005     -0.049     -0.036
OGLE-LMC-CEP-0517    0.7213367     15.136      0.038      0.088     14.582      0.109      0.042     -0.274      0.268      0.409     -0.150
OGLE-LMC-CEP-0518    0.5116924     16.578      0.448      0.226     15.696      0.455      0.240     -0.004     -0.052     -0.025      0.055
OGLE-LMC-CEP-0519    0.2252706     17.266      0.440      0.270     16.509      0.445      0.284     -0.110     -0.162      0.107      0.127
OGLE-LMC-CEP-0520    0.9229135     14.827      0.291      0.237     14.044      0.297      0.236      0.360      0.177     -0.298     -0.083
OGLE-LMC-CEP-0521    0.1452965     17.168      0.463      0.270     16.514      0.446      0.261     -0.188     -0.234      0.146      0.155
OGLE-LMC-CEP-0522    0.4974902     16.083      0.437      0.231     15.340      0.439      0.232     -0.008     -0.072     -0.037      0.049
OGLE-LMC-CEP-0524    0.4945269     18.139      0.457      0.932     15.445      0.427      0.199     -0.265      0.071      0.012      0.036
OGLE-LMC-CEP-0526    0.4487651     16.148      0.415      0.198     15.506      0.410      0.187     -0.100     -0.130      0.039      0.050
OGLE-LMC-CEP-0529    0.4557577     16.655      0.334      0.118     15.811      0.323      0.117     -0.106      0.010      0.123     -0.040
OGLE-LMC-CEP-0530    0.3786201     16.415      0.462      0.271     15.682      0.503      0.281     -0.041     -0.141      0.117      0.185
OGLE-LMC-CEP-0535    1.2374319     13.635      0.296      0.174     12.679      0.232      0.119      0.060     -0.045     -0.202     -0.013
OGLE-LMC-CEP-0536    0.4787881     16.161      0.251      0.072     15.459      0.260      0.061     -0.164      0.030      0.152     -0.097
OGLE-LMC-CEP-0537    0.4840131     16.582      0.464      0.252     15.721      0.447      0.240      0.032     -0.051     -0.033      0.055
OGLE-LMC-CEP-0538    1.2668751     14.019      0.156      0.072     13.114      0.146      0.079     -0.226      0.231      0.053     -0.294
OGLE-LMC-CEP-0539    0.5384427     16.090      0.433      0.235     15.338      0.423      0.232      0.051     -0.046     -0.043      0.046
OGLE-LMC-CEP-0540    0.5740436     15.895      0.383      0.181     15.081      0.382      0.177     -0.023     -0.000      0.035      0.003
OGLE-LMC-CEP-0541    0.5112417     16.093      0.412      0.206     15.339      0.417      0.211      0.006     -0.044     -0.005      0.051
OGLE-LMC-CEP-0542    0.7184771     15.377      0.437      0.194     14.666      0.433      0.183      0.137      0.047     -0.137     -0.010
OGLE-LMC-CEP-0543    0.5001658     16.120      0.402      0.209     15.373      0.397      0.193     -0.072     -0.082     -0.008      0.005
OGLE-LMC-CEP-0544    0.5280351     16.217      0.302      0.117     15.412      0.329      0.106     -0.108      0.035      0.123     -0.045
OGLE-LMC-CEP-0545    1.1995177     14.280      0.201      0.134     13.295      0.148      0.138      0.164      0.163     -0.106     -0.087
OGLE-LMC-CEP-0546    1.1822741     14.060      0.311      0.236     13.298      0.335      0.220      0.225      0.033     -0.107      0.080
OGLE-LMC-CEP-0553    0.6713902     15.781      0.451      0.213     14.955      0.438      0.200      0.067     -0.045     -0.102      0.018
OGLE-LMC-CEP-0554    0.4815482     16.378      0.419      0.208     15.578      0.429      0.212     -0.034     -0.064      0.019      0.072
OGLE-LMC-CEP-0556    0.8180707     15.380      0.350      0.098     14.483      0.342      0.085      0.070      0.097     -0.138     -0.164
OGLE-LMC-CEP-0557    0.5620185     16.300      0.273      0.071     15.592      0.265      0.072     -0.095      0.088      0.030     -0.187
OGLE-LMC-CEP-0561    1.0670951     14.294      0.273      0.127     13.565      0.288      0.158     -0.210     -0.082      0.222      0.045
OGLE-LMC-CEP-0564    0.5509602     15.998      0.406      0.198     15.233      0.408      0.187     -0.012     -0.016     -0.013     -0.006
OGLE-LMC-CEP-0565    0.4065545     15.993      0.519      0.291     15.436      0.506      0.281     -0.070     -0.155      0.104      0.185
OGLE-LMC-CEP-0568    0.4879694     15.906      0.481      0.278     15.272      0.457      0.262      0.030     -0.086      0.044      0.119
OGLE-LMC-CEP-0571    0.4885390     15.708      0.311      0.292     14.860      0.457      0.182     -0.010     -0.058     -0.077      0.031
OGLE-LMC-CEP-0572    0.4272837     16.152      0.463      0.248     15.479      0.455      0.252     -0.033     -0.128      0.115      0.159
OGLE-LMC-CEP-0575    0.4816354     16.177      0.397      0.194     15.412      0.405      0.201      0.009     -0.064      0.001      0.037
OGLE-LMC-CEP-0576    0.7052113     15.394      0.477      0.221     14.675      0.463      0.229      0.101     -0.017     -0.151      0.005
OGLE-LMC-CEP-0580    0.5769264     15.850      0.372      0.127     15.126      0.357      0.151     -0.069     -0.011     -0.007     -0.075
OGLE-LMC-CEP-0582    0.5379243     16.170      0.318      0.089     15.349      0.310      0.097     -0.110      0.031      0.049     -0.106
OGLE-LMC-CEP-0584    0.7578014     14.689      0.449      0.235     13.792      0.435      0.228      0.027     -0.068     -0.068      0.040
